title,author,rating,warning,category,fandom,relationship,characters,additional_tags,publish_time,words,hits,kudos,comments,summary,firsthundred,url
情人以上（三）,ShaoQingen,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['欢乐颂'],"['楼诚 - Relationship', '谭赵 - Relationship']","['赵启平', '谭宗明']",['情人以上'],2019-03-22,2937,1056,4,0,no summary,第三章 一顿饭宾主尽欢，方辛山拉着谭宗明不让走，颇有些不平道：“我费了大力气找的合你口味的人，你看都不看一眼就要回去做二十四孝？”谭宗明无奈：“什么二十四孝，他不喜欢我在外面有别的人。”方辛山冷笑：“,https://archiveofourown.org/works/18195980
Long Way Home,Alastiel2010,['Mature'],['Graphic Depictions Of Violence'],['M/M'],['Football RPF'],['Cesc Fàbregas/Gerard Piqué'],"['Gerard Piqué', 'Cesc Fàbregas', 'Lionel Messi']",['Alternate Universe'],2017-10-29,44592,265,4,0,no summary,完整设定也是为了能写得更顺手，并不是想多么恢宏的长篇，我只是想把自己的逻辑理顺，写的时候尽量避免过大的BUG，这算个理科生的强迫症吧，虽然我离学生时代已经很遥远了 XD其实对于真的SF迷来说，这些设定,https://archiveofourown.org/works/12546032
Good Bones（拾骨）,ElisaDay,['Mature'],['Major Character Death'],['M/M'],['Hannibal (TV)'],['Will Graham/Hannibal Lecter'],"['Hannibal Lecter', 'Will Graham']","['Ghost Will Graham', 'Hannibal is Hannibal']",2017-11-22,9866,797,42,0,no summary,"所谓恐怖：没有什么能够幸免于难更深刻的恐怖：确实有什么东西，幸存下来了~Richard Siken, “The Language of the Birds”威尔死去时是在某个周六的凌晨时分。并不是什么",https://archiveofourown.org/works/12791937
【虚木】FAKE（上）,agetree,['Mature'],[],['M/M'],['最强大脑'],['丁若虚/王易木'],"['丁若虚', '王易木']",there is nothing,2019-05-01,2620,742,19,0,言ってしまえば僕らなんか（说穿了我们这些人）/似せて作った紛い物です（不过是一堆仿造的拷贝品）/すぐにそれと見破られぬように（为了不让人马上识破）/上げ底して暮らしています（虚有其表地努力过活）,如果一定要找个喻体，丁若虚大概会选择用卖火柴的小女孩来形容自己此时的神经病行为。小女孩在冬日雪夜里划亮了三根火柴，欲望快乐与爱的幻象轮番登场，最终带领她去向远方。而丁若虚在无人的宿舍走廊独自点着烟，点,https://archiveofourown.org/works/18670237
【米Flo】Love is restraint（cmbyn AU）,Askrashes,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],"[""Mozart l'Opéra Rock - Mozart/Baguian & Guirao RPF""]",['Mikelangelo Loconte/Florent Mothe'],"['Mikelangelo Loconte', 'Florent Mothe']",there is nothing,2018-09-07,3277,265,5,0,爱是恒久忍耐，又有恩慈；爱是不嫉妒；爱是不自夸；爱是不狂妄……爱是永不止息。 [哥林多前书 13:4],“我并不耀眼。”米开来看了一眼坐在他身侧抱着吉他的法国男孩——他那么可爱，抱着吉他坐在意大利融化蜜糖般的阳光里，棕发又软又甜，抿着嘴看着他的样子一定有不少小姑娘喜欢，“是意大利的阳光。”米开来在暑期的,https://archiveofourown.org/works/16691656
南洋的雨,SkyAndFields,['Mature'],['Major Character Death'],['M/M'],['Les Misérables - Victor Hugo'],['Combeferre/Enjolras (Les Misérables)'],"['Combeferre (Les Misérables)', 'Enjolras (Les Misérables)']","['1941AU', 'WW2 AU', 'Singapore', 'Implied Sexual Content? or overt maybe? depends on you.', 'Love Letters? or just letters. depends on you']",2019-01-07,9191,105,0,0,《回信》的番外。,一安灼拉不喜欢多雨的天气，甚至可以说，他讨厌雨。他讨厌淌水的屋檐，讨厌泛着霉味的潮湿，讨厌车轮驰过时溅得老远的泥。当然，他更讨厌被雨搞得满是泥泞的战壕和望远镜下斑驳的图景。这往往意味着加剧感染的伤口和,https://archiveofourown.org/works/17340665
First Love,Fengyang,['Mature'],[],['M/M'],['Star Trek RPF'],['Chris Pine/Zachary Quinto'],"['Chris Pine', 'Zachary Quinto', 'Karl Urban', 'Zoe Saldana', 'John Cho', 'J. J. Abrams', 'Benedict Cumberbatch', 'Alice Eve', 'Eric Bana', 'Simon Pegg', 'Anton Yelchin']","['Alternate Universe', 'First Love', 'Alternate Universe - Fashion & Models', 'Professors']",2015-02-22,90340,2332,69,9,他是他的初戀。,—洛杉磯— Zach站在接待櫃檯前，雙手環胸，右腳不耐地打著拍子。 他已經站在這裡快要十分鐘了，而根據名牌，那個叫做Sally的接待小姐卻遲遲沒有回來。 隨著拍子的節奏越來越快，Zach覺得自己的耐心,https://archiveofourown.org/works/3989950
相遇,Valinia,['Mature'],['Creator Chose Not To Use Archive Warnings'],there is nothing,['沈巍 - Fandom'],there is nothing,there is nothing,there is nothing,2019-04-24,452,706,2,0,谨慎点入，这里的沈巍比较外放。,他站在台上，高洁优雅的样子，没想到谈了几句就要和我上床。因为他说很少碰到这么懂他的人。身体一向是他的礼物，给需要的人用不成敬意。当然也许是我理解错了。其实是他在我触碰的时候羞怯地低下了头，哦 对了，可,https://archiveofourown.org/works/18585484
生死攸关,Coquelicoteaz,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['元与均棋 元朔 - Fandom'],['元朔'],['郑棋元 徐均朔'],there is nothing,2019-12-11,4247,800,7,0,“我们做死神的，从来不和人类乱搞”,输液管滴滴答答，从针管一路滑进青色的血管里和血液融为一体。手腕上腕骨突出被薄薄的皮肤包裹，手背上青筋显露，针孔结成一点血痂。徐均朔细软的头发凌乱的散在枕头上，脸颊两侧陷进柔软的枕头里，软肉被羽绒挤起来,https://archiveofourown.org/works/21750415
Consolation,Angelicah,['Mature'],['Creator Chose Not To Use Archive Warnings'],['M/M'],['The Silmarillion and other histories of Middle-Earth - J. R. R. Tolkien'],['Maedhros/Maglor'],"['Maedhros', 'Maglor']",['Sibling Incest'],2015-04-13,2800,497,10,0,这是 @青梅君 点播的，为她的节操点蜡。,Maglor把龙舌兰酒注入刚刚泡好的红茶中，这种饮料算是他的小小发明。在地处北方高山中的Himring，它能带来抵御苦寒的热量；虽然此时此刻，当他们身处南方温暖的海滨，它就只是单纯的一种习惯罢了。  ,https://archiveofourown.org/works/3735394
